"v1","LIME","SHAP","ICI","CLIQUE"
0.778907384262547,0.440152336767812,0.243037792948227,0.438617673453771,0.0114737963388213
0.895725196860282,0.483683736785235,0.27662620641123,0.489618111862494,0.0107701647242175
0.804264178540655,0.43376711780382,0.235547332800967,0.464741510430809,0.00686713809174215
0.811676143922523,0.444322328663007,0.247968856109678,0.438512712969258,0.00827985677533044
0.823418197273965,0.447972814231644,0.257077499831708,0.455042242905079,0.0115741144885502
0.731641801467682,0.380684919539474,0.207050516727135,0.380088677222741,0.00724222779523254
0.752939703497974,0.337223827444758,0.18967161838351,0.330894808822656,0.00460278763072334
0.79296555185956,0.447900506405516,0.241778316158086,0.452044853422588,0.00851127641317287
0.766256064518277,0.422170303479775,0.227611935697667,0.418332278645683,0.00825301389650785
0.740111068313576,0.419198871452053,0.226131080493139,0.406728357713085,0.0077104038775247
0.758138891364336,0.440933748572058,0.251847059574834,0.4468434260923,0.00974447309145949
0.803034576785227,0.456503075004336,0.263349856491213,0.45608971819998,0.00880995392194611
0.728923912704124,0.366834853215531,0.211159722619745,0.373582637603019,0.00828596152911037
0.79194025163379,0.387594829111617,0.212131942345535,0.389840077265057,0.0116195839552866
0.795047367593086,0.411179265930952,0.225542851406081,0.387629223694694,0.0100687844188217
0.75638019062534,0.439111038970089,0.249200893820316,0.454982771012564,0.0116266164891424
0.81941327982233,0.463436544902719,0.269803352840099,0.468186075045769,0.00945256201075062
0.802849686490429,0.43228556653172,0.24908427691493,0.443345046321142,0.00760948527402028
0.710669313005309,0.346632142961462,0.190775723323122,0.344138078773644,0.0128780094574937
0.818101422517086,0.404300367030363,0.227404764496057,0.394571213628618,0.00592589610426332
0.832114011478142,0.427532688469918,0.246488294629737,0.43151356816931,0.0115573207013125
0.88611978375178,0.455725250711289,0.254229142089747,0.457544405307591,0.0123885441818593
0.744708086889225,0.379058895972219,0.224137826297469,0.382486155708804,0.00939373082291383
0.735470634711473,0.401306353857322,0.227193859334279,0.435893810153437,0.0144522829361525
0.825831880652455,0.443698667237521,0.252176228519484,0.4578407128969,0.0100133190549353
0.845402612115407,0.429352385048782,0.245695403752236,0.431550657510617,0.0110341110470931
0.763096707843183,0.364647914707578,0.210607113192326,0.385319161241168,0.00519414643743093
0.803613842996791,0.374847192370888,0.215782374965677,0.388785715973503,0.00713266268561547
0.78747395847598,0.369338604489562,0.215820843166922,0.425442858195051,0.00723938274690605
0.949060915024636,0.485048273697895,0.273368549262036,0.516696408833949,0.00974144069145375
0.702413946409921,0.380340576501592,0.208478959337509,0.379153566569381,0.00508880208608035
0.824942227227797,0.439546769245359,0.254706981749542,0.445851437276859,0.0111391128724204
0.716056083348689,0.366575809905561,0.209291264215456,0.389580046319542,0.00555547009533981
0.750776131192968,0.360985572037641,0.210305414638058,0.388236230233745,0.00794961765296632
0.753620476547994,0.345316075588221,0.196249333886328,0.352271305429719,0.00710372435155687
0.729457390339518,0.382012532166407,0.204972679013438,0.368549061606367,0.00696620242454742
0.794892365003947,0.426262889123871,0.23870331877866,0.416665864624053,0.0157896458422395
0.777573270515684,0.380120989428104,0.20870398160689,0.388075912817359,0.0122094415000962
0.846882873331536,0.444302815327562,0.259586049813086,0.474622105954888,0.00985057213527011
0.783436911810256,0.442136059834505,0.254414933818921,0.464226509022537,0.0090849471614975
0.799881257520148,0.381287639053948,0.214001918447716,0.382687377970003,0.00845621605255498
0.738390116074104,0.410272396489709,0.227663929188823,0.413332316751644,0.0126913939122499
0.882908277693308,0.408241743932375,0.235048966883926,0.420877523508809,0.00655691766892641
0.809843339744714,0.439328634970666,0.245862688212978,0.438495635017878,0.0140450645017478
0.882627270590965,0.43815834418908,0.245300775972161,0.43781710826343,0.0151856732535431
0.80274121121862,0.384500140208565,0.210956232611566,0.370927858843672,0.00621360300299531
0.776983836293664,0.338752786424915,0.202748205239143,0.35481714918626,0.00488374201013674
0.811648656504546,0.394083200932522,0.22461834360923,0.398111183074482,0.00780153139201837
0.782237855708982,0.40898237405115,0.23045722521803,0.396424339489687,0.00795148634654053
0.824670934482324,0.41818121762184,0.245280703934153,0.448347566453302,0.00611170812205252
