v2,LIME,SHAP,ICI,Clique
0.529358324,0.500776043,0.143158667,0.221236923,0.00645682
0.506231015,0.70896464,0.140269811,0.221671722,0.011843079
0.519069899,0.474300393,0.160961861,0.277527475,0.007233859
0.483135703,0.713440792,0.194894307,0.269894696,0.014735516
0.490398122,0.720734498,0.184992357,0.279503755,0.007712082
0.470066102,0.501750325,0.175209684,0.231998097,0.009259259
0.50158496,0.647737004,0.157952056,0.287873602,0.012087912
0.501429075,0.646606503,0.187658025,0.176517696,0.014093137
0.491360277,0.610948714,0.143386318,0.318004367,0.005063291
0.491561242,0.556722687,0.169692948,0.290199657,0.013452381
0.502279395,0.705014001,0.161696522,0.211886594,0.007251908
0.489351336,0.641896725,0.14797638,0.205564242,0.012761432
0.499137238,0.527146141,0.156856865,0.19522219,0.003838311
0.491313166,0.693020544,0.137842093,0.279270628,0.014903846
0.487751614,0.583154028,0.166578805,0.301963863,0.016945107
0.505438546,0.429702714,0.183688323,0.160462429,0.005473454
0.49343175,0.643022289,0.15974036,0.307288866,0.011409943
0.464600723,0.573521026,0.192822769,0.263427022,0.006937173
0.478294874,0.620619488,0.122087473,0.214904594,0.006451613
0.502216249,0.704620137,0.200476965,0.214371799,0.012940152
0.471900603,0.703202074,0.15339164,0.292723008,0.007998031
0.519455168,0.620784851,0.178077715,0.232304814,0.005134474
0.491686329,0.495460026,0.148549478,0.242550454,0.005877414
0.495448528,0.650528296,0.149965807,0.223174013,0.010263755
0.490455903,0.627535062,0.146197825,0.212563082,0.009906439
0.50101241,0.574959535,0.172073212,0.197090115,0.011779449
0.49676234,0.623241561,0.197276041,0.207144946,0.013840399
0.485806394,0.598689073,0.193641209,0.234449589,0.005746376
0.530176386,0.652061831,0.182987191,0.244018609,0.017776778
0.487043639,0.597320385,0.205911338,0.299630015,0.002962963
0.484029032,0.518998376,0.170814691,0.303975886,0.023095823
0.513325173,0.652600889,0.133700431,0.257266766,0.008373786
0.527124747,0.549651061,0.15058183,0.272272839,0.008809524
0.518339831,0.547721961,0.168719049,0.220283874,0.004588294
0.503937411,0.57395158,0.167273532,0.201973582,0.011310938
0.504190949,0.554125283,0.146478782,0.218873184,0.009825871
0.489654224,0.694071431,0.154260841,0.303176203,0.012102689
0.493680078,0.6708087,0.188235298,0.217641802,0.00893592
0.50419572,0.536396983,0.145196596,0.20473162,0.003318951
0.500049595,0.42314253,0.146136873,0.303214858,0.011986708
0.510699256,0.436176787,0.123549254,0.189196857,0.00325
0.529144905,0.689060745,0.19893116,0.200607131,0.006666667
0.519039347,0.701990665,0.181896366,0.218938491,0.008867833
0.495426312,0.568424347,0.155401844,0.272016858,0.00992268
0.487024079,0.495881178,0.130586283,0.227185464,0.012467866
0.508952632,0.666613108,0.115662801,0.246874328,0.013164251
0.503295045,0.590360771,0.16996474,0.206008771,0.011764706
0.494204313,0.629755678,0.164893887,0.208912298,0.011428571
0.487668745,0.539923872,0.211273989,0.244576813,0.01459854
0.475667097,0.551498551,0.16665433,0.219854979,0.010267651
